"","pes21_occ_text"
"1048",""
"1049","Growth executive - sales"
"1050","Disabled"
"1051","technicienne bureau"
"1052","-99"
"1053",""
"1054",""
"1055",""
"1056",""
"1057","Claims"
"1058","Marketing Assistant"
"1059",""
"1060","federal govt clerk"
"1061","agente gestion de projets"
"1062","court manager"
"1063",""
"1064",""
"1065","idk"
"1066","-99"
"1067",""
"1068","custodian"
"1069","Civil servant"
"1070","Retire"
"1071","Cz service"
"1072","-99"
"1073","Homemaker"
"1074","Manager"
"1075","administrator"
"1076",""
"1077","journalist"
"1078","Analyst"
"1079",""
"1080","home maker"
"1081",""
"1082",""
"1083","Student"
"1084","Analyste en risques et opérations"
"1085",""
"1086","Fraud analyst"
"1087","Banker"
"1088","Fulfillment officer"
"1089",""
"1090","Customer service"
"1091","Mother"
"1092",""
"1093",""
"1094","Respiratory Therapist"
"1095","Physiothérapeute"
"1096",""
"1097","Director of sales"
"1098",""
"1099","Retired"
"1100","Courier"
"1101","MANAGER"
"1102","Infirmière"
"1103","Graphic designer"
"1104",""
"1105","HR manager"
"1106","Environmental services"
"1107",""
"1108","teacher"
"1109","Baker"
"1110","Driver"
"1111","Préposée aux beneficiaires"
"1112","Bus Driver"
"1113","adminstration"
"1114","teacher"
"1115","travailleur"
"1116","CFO"
"1117","Accountant"
"1118",""
"1119","Cleaner"
"1120",""
"1121","Social worker"
"1122","Management consultant"
"1123","Retraitée"
"1124",""
"1125","Public servant"
"1126","Disabled"
"1127","Homemaker"
"1128","tech"
"1129","Uber eats"
"1130","enseignante au secondaire"
"1131","student / independent worker"
"1132","Homemaker"
"1133","-99"
"1134",""
"1135",""
"1136","Esthetician"
"1137","Educator"
"1138","General Manager"
"1139",""
"1140","-99"
"1141","Higher Education Admin"
"1142","Travailleur temps gestionnaire gouvernement provincial"
"1143","Baker"
"1144",""
"1145","-99"
"1146","Property Manager"
"1147",""
"1148","invalide"
"1149","Ultrasound Technologist"
"1150","Homemaker"
"1151",""
"1152","SUPERVISOR"
"1153","Artist"
"1154","Gestionnaire"
"1155","Admn Assistant"
"1156","Enseignant"
"1157",""
"1158","Private Investigator"
"1159",""
"1160",""
"1161",""
"1162","Army Officer/Engineer"
"1163","Preposer aux soins"
"1164","Child care services"
"1165",""
"1166","accountant"
"1167","-99"
"1168","aubergiste"
"1169",""
"1170","event planner"
"1171","directeur ventes"
"1172",""
"1173","Student"
"1174","office worker"
"1175","Retail"
"1176","à la maison"
"1177","-99"
"1178","Teacher"
"1179","-99"
"1180","Project Manager"
"1181","Chemist"
"1182",""
"1183","Secrétariat"
"1184","Clerical"
"1185","Pharmaceutical sales"
"1186","Registered Nurse"
"1187","Nurse"
"1188","-99"
"1189",""
"1190","Chartered accountant"
"1191",""
"1192",""
"1193","translator"
"1194","Restauratrice de meubles"
"1195","Fonctionnaire"
"1196","Technician"
"1197","Student"
"1198",""
"1199",""
"1200","Administration assistant"
"1201","Service technician"
"1202","Éducatrice spécialisée"
"1203",""
"1204","Sales Manager"
"1205","teacher"
"1206","Monteur de ligne"
"1207",""
"1208","Manager"
"1209",""
"1210","Vente automobile"
"1211",""
"1212","Driver"
"1213",""
"1214",""
"1215","Retired"
"1216","-99"
"1217","mixer operator"
"1218",""
"1219","directeur de l'administration"
"1220","professional"
"1221","officier aupres des cours de justice"
"1222","Insurance administrator"
"1223",""
"1224","lab technician"
"1225","Opérateure dans une industrie métallurgique"
"1226",""
"1227","assistant manager"
"1228","Pharmacist"
"1229","Health care aid"
"1230","Product Manager"
"1231","Early childhood Educator"
"1232","Travailleuse à temps pleins"
"1233","Chômage"
"1234",""
"1235","Administrative Assistant"
"1236","Direction Ressources Intermédiaires"
"1237","RN"
"1238","Nurse"
"1239","Business management"
"1240","Cont"
"1241","Management"
"1242",""
"1243","Buyer"
"1244",""
"1245","Police officer"
"1246","-99"
"1247","HR Business Partner"
