NOC,Title,Sample_job
00015,"Senior managers - construction, transportation, production and utilities",Feed and flour mills general manager
00015,"Senior managers - construction, transportation, production and utilities","Finance and administration vice-president - goods production, utilities, transportation and construction"
00015,"Senior managers - construction, transportation, production and utilities","Finance vice-president - goods production, utilities, transportation and construction"
00015,"Senior managers - construction, transportation, production and utilities",Finance vice-president - mining company
00015,"Senior managers - construction, transportation, production and utilities",Gas distribution general manager
00015,"Senior managers - construction, transportation, production and utilities","General manager - goods production, utilities, transportation and construction"
00015,"Senior managers - construction, transportation, production and utilities",Highway construction general manager
00015,"Senior managers - construction, transportation, production and utilities","Human resources and organizational development vice-president - goods production, utilities, transportation and construction"
00015,"Senior managers - construction, transportation, production and utilities","Human resources vice-president - goods production, utilities, transportation and construction"
00015,"Senior managers - construction, transportation, production and utilities",Hydro-electric power station president
00015,"Senior managers - construction, transportation, production and utilities","Information systems vice-president - goods production, utilities, transportation and construction"
00015,"Senior managers - construction, transportation, production and utilities",Logging company corporate controller
00015,"Senior managers - construction, transportation, production and utilities","Logistics vice-president – goods production, utilities, transportation and construction"
00015,"Senior managers - construction, transportation, production and utilities",Manufacturing company chief executive officer
00015,"Senior managers - construction, transportation, production and utilities",Marketing vice-president - airline
