Code,Occupation_Name,Nom_de_la_profession,Recent_Labour_Market_Conditions
83121,Fishermen/women,Pêcheurs indépendants/pêcheuses indépendantes,Balance
84100,Underground mine service and support workers,Travailleurs/travailleuses d'entretien et de soutien des mines souterraines,Balance
84101,Oil and gas well drilling and related workers and services operators,Travailleurs/travailleuses du forage et de l'entretien des puits de pétrole et de gaz et personnel assimilé,Balance
84110,Chain saw and skidder operators,Opérateurs/opératrices de scies à chaîne et d'engins de débardage,Balance
84111,Silviculture and forestry workers,Ouvriers/ouvrières en sylviculture et en exploitation forestière,Balance
84120,Specialized livestock workers and farm machinery operators,Ouvriers spécialisés/ouvrières spécialisées dans l’élevage et opérateurs/opératrices de machineries agricoles,Strong signs of Shortage
84121,Fishing vessel deckhands,Matelots de pont sur les bâtiments de pêche,Balance
85100,Livestock labourers,Manoeuvres aux soins du bétail,Strong signs of Shortage
85101,Harvesting labourers,Manoeuvres à la récolte,Strong signs of Shortage
85102,Aquaculture and marine harvest labourers,Manoeuvres de l'aquaculture et de la mariculture,Balance
85103,Nursery and greenhouse labourers,Manoeuvres de pépinières et de serres,Strong signs of Shortage
85104,Trappers and hunters,Trappeurs/trappeuses et chasseurs/chasseuses,N/A
85110,Mine labourers,Manoeuvres des mines,Moderate signs of Shortage
85111,"Oil and gas drilling, servicing and related labourers","Manoeuvres de forage et d'entretien des puits de pétrole et de gaz, et personnel assimilé",Moderate signs of Shortage
85120,Logging and forestry labourers,Manoeuvres de l'exploitation forestière,Balance
85121,Landscaping and grounds maintenance labourers,Manoeuvres en aménagement paysager et en entretien des terrains,Balance
90010,Manufacturing managers,Directeurs/directrices de la fabrication,Balance
90011,Utilities managers,Directeurs/directrices des services d'utilité publique,Balance
92010,"Supervisors, mineral and metal processing",Surveillants/surveillantes dans la transformation des métaux et des minerais,Balance
92011,"Supervisors, petroleum, gas and chemical processing and utilities","Surveillants/surveillantes dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique",Balance
92012,"Supervisors, food and beverage processing",Surveillants/surveillantes dans la transformation des aliments et des boissons,Balance
92013,"Supervisors, plastic and rubber products manufacturing",Surveillants/surveillantes dans la fabrication de produits en caoutchouc et en plastique,Balance
