"","x"
"1101","directrice en cpe"
"1102","commis d'épicerie"
"1103","systems engineer"
"1104","pour le ménage"
"1105","software developper"
"1106","professsional"
"1107","coordonnatrice aux opérations"
"1108","informaticien"
"1109","technicien en télécommunication   â«cable guyâ»"
"1110","tim"
"1111","fonctionnaire fédéral"
"1112","ingénieur en automatisation"
"1113","médecin"
"1114","retraite"
"1115","travailleur autonome dans le domaine artistique"
"1116","work in retail"
"1117","mecanicien"
"1118","designer industriel"
"1119","paramédic"
"1120","éducation - niveau collégial"
"1121","technitien aux travaux pratiques"
"1122","thérapeute en réadaptation physique (temps plein) enseignant collégial (chargé de cours temps partiel)"
"1123","agente de bureau"
"1124","conseillère pédagogique"
"1125","ressources humaines"
"1126","photographe"
"1127","chef de division du système d'information"
"1128","technicien en informatique"
"1129","directeur general"
"1130","travailleur autonome dans le domaine agricole"
"1131","travaille en phsycologie"
"1132","commis aux pièces"
"1133","technicien ã  la fabrication de c'blage"
"1134","cariste"
"1135","agent de bureau au gouvernement du québec."
"1136","dans le domaine de la santé"
"1137","technologue en génie biomédical"
"1138","secrétaire administrative"
"1139","professeure université"
"1140","hospital staff"
"1141","marketing leader"
"1142","accredited music therapist"
"1143","plant implementation manager"
"1144","middle management"
"1145","government employee in it"
"1146","student/ part time worker"
"1147","registered practical nurse"
"1148","real estate broker"
"1149","fast food restaurant manager"
"1150","administration assistant in health care ( hospital)"
"1151","piper fitter super attendant"
"1152","marketing director"
"1153","dietrist"
"1154","rcaf"
"1155","teacher's aid"
"1156","labourer."
"1157","psychotherapist, high school teacher"
"1158","communications officer"
"1159","labour work"
"1160","payment officer"
"1161","buyer / production coordinator"
"1162","prépose ã  l'entretien ménager"
"1163","auto mechanic"
"1164","jounalisme"
"1165","president and coo"
"1166","manager, data management company"
"1167","aerospace engineer"
"1168","brewer"
"1169","aquatics recreation"
"1170","department manager"
"1171","special education assistant"
"1172","physiotherapy assistant"
"1173","technologist télécomunication"
"1174","cybersecurity analyst"
"1175","telecommunications operator"
"1176","homecare worker"
"1177","sw"
"1178","retailexecutive"
"1179","kinesiology"
"1180","rn"
"1181","computer developer"
"1182","assembler"
"1183","mtt"
"1184","sales clerk"
"1185","public service"
"1186","police officer"
"1187","international trade"
